FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count,GamesInWeek,HighSeqNum 
3.5835773553835E13,4,4179,0,2.9588642580087E13,2,12,13
3.5835773553835E13,4,4185,0,2.9588642580087E13,3,11,13
3.5835773553835E13,4,4188,0,2.9588642580087E13,4,10,13
3.5835773553835E13,4,4194,0,2.9588642580087E13,5,9,11
3.5835773553835E13,4,4197,0,2.9588642580087E13,6,8,10
2.9336694257305E13,5,4201,0,2.3145108696417E13,1,15,16
3.5876025652741E13,4,4204,0,2.9336694257305E13,1,13,14
3.5876025652741E13,4,4227,0,2.9336694257305E13,2,12,13
3.6216737390373E13,4,4230,0,2.9336694257305E13,1,13,14
3.6216737390373E13,4,4253,0,2.9336694257305E13,2,12,13
3.6216737390373E13,4,4255,0,2.9336694257305E13,3,11,12
2.8721135948472E13,5,4274,0,2.3145108696417E13,1,13,14
3.6898538681608E13,4,4288,0,2.8721135948472E13,1,15,16
3.5614755058976E13,4,4318,0,2.8721135948472E13,1,15,16
3.5614755058976E13,4,4347,0,2.8721135948472E13,2,14,15
3.5614755058976E13,4,4354,0,2.8721135948472E13,3,13,14
2.8721135948472E13,5,4368,0,2.3145108696417E13,2,12,13
3.0106153897254E13,5,4374,0,2.3145108696417E13,1,13,14
3.5925450176302E13,4,4376,0,3.0106153897254E13,1,15,16
3.5925450176302E13,4,4399,0,3.0106153897254E13,2,14,15
3.5925450176302E13,4,4401,0,3.0106153897254E13,3,13,14
3.5925450176302E13,4,4403,0,3.0106153897254E13,4,12,13
3.5925450176302E13,4,4405,0,3.0106153897254E13,5,11,12
2.9135484449623E13,5,4420,0,2.3145108696417E13,1,15,16
3.5656180665643E13,4,4430,0,2.9135484449623E13,1,13,14
2.9588642580087E13,5,4492,0,2.3145108696417E13,2,14,16
2.3209927990689E13,6,4510,0,1.8524852856273E13,1,15,15
2.3069274941073E13,6,4533,0,1.8524852856273E13,1,14,14
2.3536757506737E13,6,4556,0,1.8524852856273E13,1,14,14
2.9954288521944E13,5,4570,0,2.3536757506737E13,1,14,15
3.5998663181652E13,4,4572,0,2.9954288521944E13,1,15,16
2.3209927990689E13,6,4645,0,1.8524852856273E13,2,14,15
2.02803242862E11,16,4658,0,4.2809158174E10,1,16,14
4.87195418694E11,15,4660,0,2.02803242862E11,1,16,15
1.155685328006E12,14,4662,0,4.87195418694E11,1,16,14
1.963483727306E12,13,4665,0,1.155685328006E12,1,16,15
2.94216045161E12,12,4678,0,1.963483727306E12,1,15,14
4.797601997512E12,11,4679,0,2.94216045161E12,1,15,15
6.908114070664E12,10,4683,0,4.797601997512E12,1,14,15
1.000360499164E13,9,4684,0,6.908114070664E12,1,14,15
1.315140498524E13,8,4685,0,1.000360499164E13,1,15,15
1.347675653404E13,8,4707,0,1.000360499164E13,1,14,14
1.6941096410268E13,7,4722,0,1.347675653404E13,1,14,14
2.1888873197292E13,6,4725,0,1.6941096410268E13,1,15,15
2.676479901408E13,5,4727,0,2.1888873197292E13,1,13,14
3.452476014832E13,4,4741,0,2.676479901408E13,1,14,15
3.452476014832E13,4,4764,0,2.676479901408E13,2,13,14
3.3983333112072E13,4,4768,0,2.676479901408E13,1,14,15
2.7215347382662E13,5,4814,0,2.1888873197292E13,1,14,15
2.7215347382662E13,5,4839,0,2.1888873197292E13,2,13,14
1.288508530264E13,8,4906,0,1.000360499164E13,1,13,13
1.338100851724E13,8,4928,0,1.000360499164E13,1,15,15
1.347675653404E13,8,4950,0,1.000360499164E13,2,13,13
1.338100851724E13,8,4951,0,1.000360499164E13,2,14,15
1.338100851724E13,8,4952,0,1.000360499164E13,3,13,13
1.323720269984E13,8,4957,0,1.000360499164E13,1,14,14
1.7499656859078E13,7,4962,0,1.323720269984E13,1,14,14
2.2178786819718E13,6,4972,0,1.7499656859078E13,1,13,13
2.772069110821E13,5,4986,0,2.2178786819718E13,1,14,15
2.2178786819718E13,6,5032,0,1.7499656859078E13,2,12,12
2.2178786819718E13,6,5048,0,1.7499656859078E13,3,11,12
1.7499656859078E13,7,5053,0,1.323720269984E13,2,13,13
1.296550820164E13,8,5074,0,1.000360499164E13,1,13,13
1.6782316600626E13,7,5075,0,1.296550820164E13,1,15,14
2.1074024799954E13,6,5077,0,1.6782316600626E13,1,15,15
2.6321533500921E13,5,5089,0,2.1074024799954E13,1,14,15
3.2817472704689E13,4,5091,0,2.6321533500921E13,1,13,14
2.6842247939139E13,5,5147,0,2.1074024799954E13,1,13,14
2.1813480232722E13,6,5192,0,1.6782316600626E13,1,14,14
2.1501117290466E13,6,5214,0,1.6782316600626E13,1,13,13
2.7535718267169E13,5,5231,0,2.1501117290466E13,1,14,15
3.2365083559613E13,4,5241,0,2.7535718267169E13,1,15,16
